city,state_id,state_name,county_name,zip
Adjuntas,PR,Puerto Rico,Adjuntas,601
Aguada,PR,Puerto Rico,Aguada,602
Aguadilla,PR,Puerto Rico,Aguadilla,603
Maricao,PR,Puerto Rico,Maricao,606
Anasco,PR,Puerto Rico,Añasco,610
Arecibo,PR,Puerto Rico,Arecibo,612
Bajadero,PR,Puerto Rico,Arecibo,616
Barceloneta,PR,Puerto Rico,Barceloneta,617
Boqueron,PR,Puerto Rico,Cabo Rojo,622
Cabo Rojo,PR,Puerto Rico,Cabo Rojo,623
Penuelas,PR,Puerto Rico,Peñuelas,624
Camuy,PR,Puerto Rico,Camuy,627
Castaner,PR,Puerto Rico,Lares,631
Sabana Grande,PR,Puerto Rico,Sabana Grande,637
Ciales,PR,Puerto Rico,Ciales,638
Utuado,PR,Puerto Rico,Utuado,641
Dorado,PR,Puerto Rico,Dorado,646
Ensenada,PR,Puerto Rico,Guánica,647
Florida,PR,Puerto Rico,Florida,650
Garrochales,PR,Puerto Rico,Arecibo,652
Guanica,PR,Puerto Rico,Guánica,653
Guayanilla,PR,Puerto Rico,Guayanilla,656
Hatillo,PR,Puerto Rico,Hatillo,659
Hormigueros,PR,Puerto Rico,Hormigueros,660
Isabela,PR,Puerto Rico,Isabela,662
Jayuya,PR,Puerto Rico,Jayuya,664
Lajas,PR,Puerto Rico,Lajas,667
Lares,PR,Puerto Rico,Lares,669
Las Marias,PR,Puerto Rico,Las Marías,670
Manati,PR,Puerto Rico,Manatí,674
Moca,PR,Puerto Rico,Moca,676
Rincon,PR,Puerto Rico,Rincón,677
Quebradillas,PR,Puerto Rico,Quebradillas,678
Mayaguez,PR,Puerto Rico,Mayagüez,680
Mayaguez,PR,Puerto Rico,Mayagüez,682
San German,PR,Puerto Rico,San Germán,683
San Sebastian,PR,Puerto Rico,San Sebastián,685
Morovis,PR,Puerto Rico,Morovis,687
Sabana Hoyos,PR,Puerto Rico,Arecibo,688
San Antonio,PR,Puerto Rico,Aguadilla,690
Vega Alta,PR,Puerto Rico,Vega Alta,692
Vega Baja,PR,Puerto Rico,Vega Baja,693
Vega Baja,PR,Puerto Rico,Vega Baja,694
Yauco,PR,Puerto Rico,Yauco,698
Aguas Buenas,PR,Puerto Rico,Aguas Buenas,703
Aguirre,PR,Puerto Rico,Salinas,704
Aibonito,PR,Puerto Rico,Aibonito,705
Maunabo,PR,Puerto Rico,Maunabo,707
Arroyo,PR,Puerto Rico,Arroyo,714
Mercedita,PR,Puerto Rico,Ponce,715
Ponce,PR,Puerto Rico,Ponce,716
Ponce,PR,Puerto Rico,Ponce,717
Naguabo,PR,Puerto Rico,Naguabo,718
Naranjito,PR,Puerto Rico,Naranjito,719
Orocovis,PR,Puerto Rico,Orocovis,720
Patillas,PR,Puerto Rico,Patillas,723
Caguas,PR,Puerto Rico,Caguas,725
Caguas,PR,Puerto Rico,Caguas,727
Ponce,PR,Puerto Rico,Ponce,728
Canovanas,PR,Puerto Rico,Canóvanas,729
Ponce,PR,Puerto Rico,Ponce,730
Ponce,PR,Puerto Rico,Ponce,731
Ceiba,PR,Puerto Rico,Ceiba,735
Cayey,PR,Puerto Rico,Cayey,736
Fajardo,PR,Puerto Rico,Fajardo,738
Cidra,PR,Puerto Rico,Cidra,739
Puerto Real,PR,Puerto Rico,Fajardo,740
Punta Santiago,PR,Puerto Rico,Humacao,741
Rio Grande,PR,Puerto Rico,Río Grande,745
Salinas,PR,Puerto Rico,Salinas,751
San Lorenzo,PR,Puerto Rico,San Lorenzo,754
Santa Isabel,PR,Puerto Rico,Santa Isabel,757
Vieques,PR,Puerto Rico,Vieques,765
Villalba,PR,Puerto Rico,Villalba,766
Yabucoa,PR,Puerto Rico,Yabucoa,767
Coamo,PR,Puerto Rico,Coamo,769
Las Piedras,PR,Puerto Rico,Las Piedras,771
Loiza,PR,Puerto Rico,Loíza,772
Luquillo,PR,Puerto Rico,Luquillo,773
Culebra,PR,Puerto Rico,Culebra,775
Juncos,PR,Puerto Rico,Juncos,777
Gurabo,PR,Puerto Rico,Gurabo,778
Coto Laurel,PR,Puerto Rico,Ponce,780
Comerio,PR,Puerto Rico,Comerío,782
Corozal,PR,Puerto Rico,Corozal,783
Guayama,PR,Puerto Rico,Guayama,784
La Plata,PR,Puerto Rico,Aibonito,786
Humacao,PR,Puerto Rico,Humacao,791
Barranquitas,PR,Puerto Rico,Barranquitas,794
Juana Diaz,PR,Puerto Rico,Juana Díaz,795
St Thomas,VI,Virgin Islands,St. Thomas,801
St Thomas,VI,Virgin Islands,St. Thomas,802
Christiansted,VI,Virgin Islands,St. Croix,820
Christiansted,VI,Virgin Islands,St. Croix,823
Christiansted,VI,Virgin Islands,St. Croix,824
St John,VI,Virgin Islands,St. John,830
St John,VI,Virgin Islands,St. John,831
Frederiksted,VI,Virgin Islands,St. Croix,840
Frederiksted,VI,Virgin Islands,St. Croix,841
Kingshill,VI,Virgin Islands,St. Croix,850
Kingshill,VI,Virgin Islands,St. Croix,851
San Juan,PR,Puerto Rico,San Juan,901
San Juan,PR,Puerto Rico,San Juan,906
San Juan,PR,Puerto Rico,San Juan,907
San Juan,PR,Puerto Rico,San Juan,909
San Juan,PR,Puerto Rico,San Juan,911
San Juan,PR,Puerto Rico,San Juan,912
San Juan,PR,Puerto Rico,San Juan,913
San Juan,PR,Puerto Rico,San Juan,915
San Juan,PR,Puerto Rico,San Juan,917
San Juan,PR,Puerto Rico,San Juan,918
San Juan,PR,Puerto Rico,San Juan,920
San Juan,PR,Puerto Rico,San Juan,921
San Juan,PR,Puerto Rico,San Juan,923
San Juan,PR,Puerto Rico,San Juan,924
San Juan,PR,Puerto Rico,San Juan,925
San Juan,PR,Puerto Rico,San Juan,926
San Juan,PR,Puerto Rico,San Juan,927
Fort Buchanan,PR,Puerto Rico,Guaynabo,934
San Juan,PR,Puerto Rico,San Juan,936
Toa Baja,PR,Puerto Rico,Toa Baja,949
Toa Baja,PR,Puerto Rico,Dorado,950
Toa Baja,PR,Puerto Rico,Toa Baja,951
Sabana Seca,PR,Puerto Rico,Toa Baja,952
Toa Alta,PR,Puerto Rico,Toa Alta,953
Bayamon,PR,Puerto Rico,Bayamón,956
Bayamon,PR,Puerto Rico,Bayamón,957
Bayamon,PR,Puerto Rico,Bayamón,959
Bayamon,PR,Puerto Rico,Bayamón,960
Bayamon,PR,Puerto Rico,Bayamón,961
Catano,PR,Puerto Rico,Cataño,962
Guaynabo,PR,Puerto Rico,Guaynabo,965
Guaynabo,PR,Puerto Rico,Guaynabo,966
Guaynabo,PR,Puerto Rico,Guaynabo,968
Guaynabo,PR,Puerto Rico,Guaynabo,969
Guaynabo,PR,Puerto Rico,Guaynabo,971
Trujillo Alto,PR,Puerto Rico,Trujillo Alto,976
Carolina,PR,Puerto Rico,Carolina,979
Carolina,PR,Puerto Rico,Carolina,982
Carolina,PR,Puerto Rico,Carolina,983
Carolina,PR,Puerto Rico,Carolina,985
Carolina,PR,Puerto Rico,Carolina,987
Agawam,MA,Massachusetts,Hampden,1001
Amherst,MA,Massachusetts,Hampshire,1002
Amherst,MA,Massachusetts,Hampshire,1003
Barre,MA,Massachusetts,Worcester,1005
Belchertown,MA,Massachusetts,Hampshire,1007
Blandford,MA,Massachusetts,Hampden,1008
Bondsville,MA,Massachusetts,Hampden,1009
Brimfield,MA,Massachusetts,Hampden,1010
Chester,MA,Massachusetts,Hampden,1011
Chesterfield,MA,Massachusetts,Hampshire,1012
Chicopee,MA,Massachusetts,Hampden,1013
Chicopee,MA,Massachusetts,Hampden,1020
Chicopee,MA,Massachusetts,Hampden,1022
Cummington,MA,Massachusetts,Hampshire,1026
Easthampton,MA,Massachusetts,Hampshire,1027
East Longmeadow,MA,Massachusetts,Hampden,1028
East Otis,MA,Massachusetts,Berkshire,1029
Feeding Hills,MA,Massachusetts,Hampden,1030
Gilbertville,MA,Massachusetts,Worcester,1031
Goshen,MA,Massachusetts,Hampshire,1032
Granby,MA,Massachusetts,Hampshire,1033
Granville,MA,Massachusetts,Hampden,1034
Hadley,MA,Massachusetts,Hampshire,1035
Hampden,MA,Massachusetts,Hampden,1036
Hardwick,MA,Massachusetts,Worcester,1037
Hatfield,MA,Massachusetts,Hampshire,1038
Haydenville,MA,Massachusetts,Hampshire,1039
Holyoke,MA,Massachusetts,Hampden,1040
Huntington,MA,Massachusetts,Hampshire,1050
Leeds,MA,Massachusetts,Hampshire,1053
Leverett,MA,Massachusetts,Franklin,1054
Ludlow,MA,Massachusetts,Hampden,1056
Monson,MA,Massachusetts,Hampden,1057
Northampton,MA,Massachusetts,Hampshire,1060
Florence,MA,Massachusetts,Hampshire,1062
Northampton,MA,Massachusetts,Hampshire,1063
North Hatfield,MA,Massachusetts,Hampshire,1066
Oakham,MA,Massachusetts,Worcester,1068
Palmer,MA,Massachusetts,Hampden,1069
Plainfield,MA,Massachusetts,Hampshire,1070
Russell,MA,Massachusetts,Hampden,1071
Shutesbury,MA,Massachusetts,Franklin,1072
Southampton,MA,Massachusetts,Hampshire,1073
South Barre,MA,Massachusetts,Worcester,1074
South Hadley,MA,Massachusetts,Hampshire,1075
Southwick,MA,Massachusetts,Hampden,1077
Thorndike,MA,Massachusetts,Hampden,1079
Three Rivers,MA,Massachusetts,Hampden,1080
Wales,MA,Massachusetts,Hampden,1081
Ware,MA,Massachusetts,Hampshire,1082
Warren,MA,Massachusetts,Worcester,1083
West Chesterfield,MA,Massachusetts,Hampshire,1084
Westfield,MA,Massachusetts,Hampden,1085
Westfield,MA,Massachusetts,Hampden,1086
West Hatfield,MA,Massachusetts,Hampshire,1088
West Springfield,MA,Massachusetts,Hampden,1089
West Warren,MA,Massachusetts,Worcester,1092
Whately,MA,Massachusetts,Franklin,1093
Wheelwright,MA,Massachusetts,Worcester,1094
Wilbraham,MA,Massachusetts,Hampden,1095
Williamsburg,MA,Massachusetts,Hampshire,1096
Woronoco,MA,Massachusetts,Hampden,1097
Worthington,MA,Massachusetts,Hampshire,1098
Springfield,MA,Massachusetts,Hampden,1103
Springfield,MA,Massachusetts,Hampden,1104
Springfield,MA,Massachusetts,Hampden,1105
Longmeadow,MA,Massachusetts,Hampden,1106
Springfield,MA,Massachusetts,Hampden,1107
Springfield,MA,Massachusetts,Hampden,1108
Springfield,MA,Massachusetts,Hampden,1109
Springfield,MA,Massachusetts,Hampden,1118
Springfield,MA,Massachusetts,Hampden,1119
Springfield,MA,Massachusetts,Hampden,1128
Springfield,MA,Massachusetts,Hampden,1129
Indian Orchard,MA,Massachusetts,Hampden,1151
Springfield,MA,Massachusetts,Hampden,1199
Pittsfield,MA,Massachusetts,Berkshire,1201
Adams,MA,Massachusetts,Berkshire,1220
Ashley Falls,MA,Massachusetts,Berkshire,1222
Becket,MA,Massachusetts,Berkshire,1223
Berkshire,MA,Massachusetts,Berkshire,1224
Cheshire,MA,Massachusetts,Berkshire,1225
Dalton,MA,Massachusetts,Berkshire,1226
Glendale,MA,Massachusetts,Berkshire,1229
Great Barrington,MA,Massachusetts,Berkshire,1230
Hinsdale,MA,Massachusetts,Berkshire,1235
Housatonic,MA,Massachusetts,Berkshire,1236
Lanesborough,MA,Massachusetts,Berkshire,1237
Lee,MA,Massachusetts,Berkshire,1238
Lenox,MA,Massachusetts,Berkshire,1240
Lenox Dale,MA,Massachusetts,Berkshire,1242
Middlefield,MA,Massachusetts,Hampshire,1243
Mill River,MA,Massachusetts,Berkshire,1244
Monterey,MA,Massachusetts,Berkshire,1245
North Adams,MA,Massachusetts,Berkshire,1247
Otis,MA,Massachusetts,Berkshire,1253
Richmond,MA,Massachusetts,Berkshire,1254
Sandisfield,MA,Massachusetts,Berkshire,1255
Savoy,MA,Massachusetts,Berkshire,1256
Sheffield,MA,Massachusetts,Berkshire,1257
South Egremont,MA,Massachusetts,Berkshire,1258
Southfield,MA,Massachusetts,Berkshire,1259
South Lee,MA,Massachusetts,Berkshire,1260
Stockbridge,MA,Massachusetts,Berkshire,1262
Tyringham,MA,Massachusetts,Berkshire,1264
West Stockbridge,MA,Massachusetts,Berkshire,1266
