sp_id,sp_name
41593,Mercedes-Benz of Westwood
41928,Minuteman Volkswagen
42627,McLaughlin Chevrolet
42784,Copeland Chevrolet
42822,Audi Brookline
42950,Herb Chambers Honda in Boston
43037,Lexus of Watertown
43267,Watertown Ford
43444,Honda Village
43844,Colonial Chevrolet
43980,Prime Toyota - Boston
44008,Colonial Cadillac
44057,Good Brothers Dodge Incorporated
44129,Liberty Chevrolet
44165,BMW Peabody
44255,Wayland Automotive
44452,Acura of Peabody
44604,Cadillac of Norwood
44627,Boch New to You
45746,Greater Lowell Buick GMC
46136,Lannan Chevrolet of Lowell
46165,Gervais Lincoln
46211,Durand Chevrolet
46282,Franklin Ford
46582,Colonial Ford
46944,Wellesley Toyota
46999,Toyota of Watertown
47001,Audi Peabody
47012,Imperial Toyota
47016,Herb Chambers Porsche of Burlington
47017,Mercedes-Benz of Boston
47018,Flagship Motorcars of Lynnfield
47019,Herb Chambers KIA of Burlington
47026,Herb Chambers Hyundai of Auburn
47029,Herb Chambers MINI of Boston
47032,Herb Chambers Cadillac of Warwick
47033,Herb Chambers Toyota of Auburn
47041,Kelly Honda
47074,Serra Chevrolet
47102,Greenville Motor Company
47103,Larry Puckett Chevrolet Inc
47122,Chuck Stevens Chevrolet of Bay Minette
47170,Courtesy Chevrolet
47190,Chapman Chevrolet
47194,Gateway Chevrolet Inc
47210,Watson Chevrolet Inc.
47221,Joe Bullard Cadillac
47222,Larry Green Chevrolet
47227,Bradley Chevrolet
47319,Liberty Buick
47348,Rhodes Chevrolet
47356,Everett Buick GMC
47372,Harbor Chevrolet
47425,Mission Bay Chevrolet
47456,Anderson Chevrolet
47459,Gosch Chevrolet
47469,Connell Chevrolet
47560,Liberty Chevrolet
47594,Tustin Buick GMC
47630,Novato Chevrolet
47643,Borjon Auto Center
47693,Hanlees Davis Toyota
47758,Emich Chevrolet
47806,Buick GMC of Vacaville
47820,Taylor Motors Inc
47835,Sullivan O'Neills Chevrolet Buick Incorporated
47839,Carter Chevrolet
47865,Richard Chevrolet
47873,Chevrolet of Milford
47894,Wow Woodbury Chevrolet
47897,H and L Chevrolet Inc
47911,Diver Chevrolet
47952,Jon Hall Chevrolet Inc.
48005,Kent County Motor Sales
48027,Bob Steele Chevrolet
48033,Cadillac of Greenwich
48039,Auto Team Delaware
48050,Bomnin Chevrolet West Kendall
48056,Phil Smith Chevrolet
48064,Nimnicht Buick GMC
48103,Kaiser Buick GMC
48110,Ron Norris Buick GMC Honda
48146,Register Chevrolet
48162,George Nahas Chevrolet
48164,Gilbert Chevrolet
48194,Delray Buick GMC
48199,John Thornton Chevrolet
48244,Durrence Layne Chevrolet Buick GMC
48262,Ed Morse Cadillac Brandon
