trimId,trim_name
t83804,Latitude
t86759,S
t58994,Base
t86074,V6 HSE
t85614,P250 R-Dynamic S
t85256,Sedan
t85531,P300 R-Dynamic SE
t56834,Launch Edition Coupe RWD
t85529,P250 S
t58802,340i xDrive Sedan
t86761,SE
t80228,Sport
t83803,Latitude
t86075,Td6 SE
t84153,Sport
t85530,P250 SE
t86077,V6 Landmark Edition
t86760,S R-Dynamic
t72685,Sport Sedan
t85617,P340 R-Dynamic S
t74365,LT
t86762,SE R-Dynamic
t76289,AWD
t73662,LT Cloth
t70037,Altitude
t80227,Grand Touring
t67372,1LT
t75215,Altitude
t68753,X High Altitude
t90895,2.0i Touring Wagon
t85906,2.0L Premium
t86758,HSE R-Dynamic
t68766,Limited
t78739,Premium Luxury
t58595,Limited Sedan
t83346,Trailhawk
t44321,Touring Sedan
t67424,LT
t67122,Latitude 75th Anniversary
t85264,Premium Sedan
t86072,V6 HSE Luxury
t86084,V6 SE
t67196,Sport
t75321,GT
t77120,Sahara
t68378,CLA 250 4MATIC
t85743,1.5T LT
t58666,LT
t82770,GT RWD
t54770,1LT
t58902,High Altitude Edition
t74392,LT Double Cab
t67263,Sahara
t38796,S
t68764,Laredo
t69379,LX
t57615,Latitude
t69513,AWD
t60813,GLC 300 4MATIC
t75314,SRT Hellcat RWD
t72937,1.5T LT
t67808,LT Double Cab
t79131,LX
t57448,Sport
t79055,1.5T LT
t75453,Reserve
t75428,2.5i Premium
t56015,435i xDrive Gran Coupe
t83016,Trailhawk
t86071,Td6 HSE Luxury
t75587,GLE AMG 43 4MATIC Coupe
t58119,Luxury
t85618,P380 R-Dynamic HSE
t85528,P250 First Edition
t68988,2.0L SE
t69287,230i xDrive Coupe
t55151,Limited
t67340,Touring L
t53336,SV
t75295,1500 LT
t83806,Sport
t67577,1LT Coupe RWD
t50944,1LT Sedan
t75106,LT
t73077,3.0T quattro Premium Plus
t86086,V6 HST
t86692,H Plug-in HSE
t68159,Premier Hatchback
t86816,P250 SE
t68694,Citadel
t67176,Sahara
t67377,1LT
t49174,Laredo
t68695,GT
t69686,Sport
t86076,V6 SE
t68137,SR
t68770,Overland
t69035,GLC 300 4MATIC
t75210,Limited
,
t54875,LTZ
t73908,1SS Coupe RWD
t85263,Premium Hatchback
t67373,2LT
t85619,SVAutobiography Dynamic Edition
t69074,Wolfsburg 4Motion
t87537,HSE
t78505,Signature Sedan
t89202,110 S
t82990,Latitude
t67588,Premier Sedan
t84148,Grand Touring
t68740,High Altitude
t78440,Platinum Crew Cab
t74879,LT Crew Cab LB RWD
t68144,SL
t75221,Limited
t75229,Sterling Edition
t87385,HSE V6
t69122,LT
t82931,GT RWD
t75316,SXT Plus RWD
t58237,1500 LTZ
t89668,Sport
t83626,2LT
t49176,Limited
t67863,LX
t86079,V8 SVR
t68774,Trailhawk
t83250,Signature
t67189,Rubicon
t43981,Luxury
t77803,Laramie Longhorn Crew Cab
t58602,GT Coupe RWD
t79435,LT Crew Cab
t55355,xDrive35i
t83205,SRT Hellcat Redeye RWD
t50014,HSE
t74003,LT
t70247,Platinum Edition
t76037,30t Premium
t82660,LT Double Cab
t41540,GLK 350 4MATIC
t69967,Altitude
t53278,xDrive35i
t49321,HSE
t79408,LT
t69190,Express Crew Cab
t74386,LT Crew Cab
t58592,S Sedan
t45192,528i xDrive Sedan
t78815,LT Crew Cab
t67420,LT
t67241,Sahara
t83292,25t
t67805,LT Z71 Crew Cab
t35697,LX
t92417,E-150 Cargo Van
t38885,4.2 quattro Spyder
t56857,LX
t58671,Touring
t43764,AWD
t68698,R/T
t76330,2.5 SL
t67587,LT Sedan
t75376,Touring L
t67254,Sahara
t37832,Cargo XL
t72958,Touring
t77515,2.0L SEL
t43846,xDrive28i
t66940,SE Sedan
t58242,LS
t78983,1LT Convertible RWD
t57578,Grand Touring
t55775,740Li xDrive
t51621,E 350 Luxury 4MATIC
t67385,C 300 4MATIC
t24934,2.0T quattro Sedan
t73220,S
t72498,FWD
t77885,Limited
t59741,AWD
t92448,E-250 Cargo Van
t39428,xDrive50i
t67374,Premier
t40608,Limited Sedan
t67723,Premium
t17624,FWD
t75449,SEL
t58241,LT
t43417,535i xDrive Sedan
t87413,S RWD
t75227,High Altitude
t68657,SXT
t44001,xDrive35i
t67980,C 300 Coupe 4MATIC
t92392,E-150 Cargo Van
t24299,S 4X4
t55452,High Altitude Edition
t83629,Premier
t42003,3.5L Limited
t52816,GL 450
t83623,Premier
t15924,Laredo
t53259,AWD
t83896,2.5 SR
t67315,xDrive28i
t68940,xDrive28i
t53221,Sport
t39657,LX
t51614,CLS 550 4MATIC
t28970,Coupe RWD
t23852,2.0T
t57113,2500 144 WB Regular Cab DRW Chassis
t51775,2.0T quattro Premium Plus
t67120,Limited 75th Anniversary
t65965,2.0T quattro Premium Plus Sedan
t31962,S
t70105,Denali Crew Cab
t69492,Elite
t84352,Crossroad
t44136,GTS
t74417,Custom Double Cab
t55150,Laredo
t69116,1500 LT
t32018,SH-AWD
t37326,LTZ Sedan
t35571,LS
t67829,Custom Double Cab
t69429,1.8T SE with Technology Pkg
t43788,2.0T quattro Premium Plus Coupe
t69403,SE Premium
t54777,Premium
t74526,Limited Double Cab
t58016,2.0T quattro Premium Sedan
t52293,2LT
t41140,2.0T quattro Premium Plus Sedan
t45493,LS Sedan
t44034,GL 450
t79405,Luxury
t8525,SE Crew Cab
